epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,50.2601,0.78392,2.12185,1.1016,0.91053,0.3815,0.42584,0.31461,0.98289,2.23089,1.18583,0.000474323,0.000474323,0.000474323
2,79.8776,0.83463,1.3994,1.11175,0.9377,0.38579,0.43912,0.32111,0.9457,1.64891,1.2162,0.000931834,0.000931834,0.000931834
3,109.717,0.84394,1.217,1.10924,0.90699,0.41737,0.48851,0.34119,0.86597,1.30056,1.1665,0.00137048,0.00137048,0.00137048
4,138.981,0.80694,1.04198,1.10189,0.95111,0.42666,0.47308,0.36008,0.84863,1.08301,1.12859,0.00134412,0.00134412,0.00134412
5,167.754,0.78909,0.92034,1.08634,0.45785,0.53709,0.49735,0.37833,0.82906,0.8604,1.12652,0.00131582,0.00131582,0.00131582
6,196.523,0.75891,0.84274,1.06621,0.96906,0.43809,0.47891,0.37286,0.81419,0.84891,1.12512,0.00128753,0.00128753,0.00128753
7,225.627,0.71584,0.79198,1.0495,0.98753,0.45187,0.49494,0.39955,0.75123,0.75399,1.07178,0.00125923,0.00125923,0.00125923
8,254.612,0.73364,0.77303,1.04931,0.97335,0.42197,0.47515,0.3833,0.81269,0.80539,1.09988,0.00123094,0.00123094,0.00123094
9,284.073,0.70208,0.75106,1.04682,0.94923,0.44798,0.47264,0.37388,0.77545,0.83421,1.0889,0.00120265,0.00120265,0.00120265
10,313.131,0.66302,0.68067,1.01924,0.9788,0.43931,0.51267,0.40115,0.74019,0.71904,1.05414,0.00117435,0.00117435,0.00117435
11,341.848,0.66144,0.66876,1.01942,0.98093,0.43729,0.49406,0.39329,0.79384,0.75307,1.14871,0.00114606,0.00114606,0.00114606
12,370.727,0.64056,0.64051,1.0156,0.62101,0.53998,0.54157,0.44699,0.71367,0.69843,1.03759,0.00111776,0.00111776,0.00111776
